Id,Name,Scientific Name,Link to Pic,Threat Level
1,Air Potato,Dioscorea bulbifera,https://upload.wikimedia.org/wikipedia/commons/9/9b/Chinese_yam_-_air-potato_-_dioscorea_polystachya_IMG_8134.jpg,Significant
2,Coral Adicea,Ardicia Crenata,https://www.floridamuseum.ufl.edu/wp-content/uploads/sites/23/2017/03/Ardisia-crenata-mature-fruit.jpg,Significant
3,Spanish Gold,Sesbania Punicea,https://www.picturethisai.com/wiki-image/1080/215992612534845440.jpeg,Low
4,Torpedo Grass,Panicum repens,https://fsus.ncbg.unc.edu/img/orig/jho/jho_01342f.jpg,Significant
5,Wedelia,Wedelia Trilobata,https://apps.lucidcentral.org/pppw_v10/images/entities/wedelia_447/ronggy_sphagneticola_trilobata_in_singapore2017.jpg,Moderate
6,Caeser's Weed,Urena Lobata,https://plant-directory.ifas.ufl.edu/site/assets/files/1163/urena_lobata_at_kadavoor.0x1800.jpg,Low
7,Small Leaf Spiderwort,Tradescantia fluminensis,https://plant-directory.ifas.ufl.edu/site/assets/files/1157/tradescantia_fluminensis_flowers.0x1800.jpg,Significant
8,Wild Taro,Colocasia esculenta,"https://en.wikipedia.org/wiki/Xanthosoma_sagittifolium#/media/File:Xanthosoma_sagittifolium_in_Bukidnon,_Philippines_01.jpg",Moderate
9,Japanese Climbing Fern,Lygodium japonicum,https://fsus.ncbg.unc.edu/img/orig/amc/amc_04402.jpg,Significant
10,Chinese Tallow,Sapium sebiferum,https://plantmaster.com/plants/eplant.php?plantnum=77741&project=12637#gallery-1,Significant
11,Camphor,Cinnamomum camphora,https://plantmaster.com/plants/eplant.php?plantnum=150#gallery-1,Significant
12,Mimosa,Albizia julibrissin,"https://en.wikipedia.org/wiki/Albizia_julibrissin#/media/File:2018-07-08_11_10_27_Rosea_Mimosa_blossoms_along_the_ramp_from_southbound_Interstate_95_(New_Jersey_Turnpike_Eastern_Spur)_to_westbound_Interstate_280_(Essex_Freeway)_in_the_New_Jersey_Meadowlands,_within_Kearny,_Hudson_County,_New_Jersey.jpg",Significant
13,Shrub Lantana,Lantana camara,https://en.wikipedia.org/wiki/Lantana_camara#/media/File:LantanaFlowerLeaves.jpg,Significant
14,Boston Fern,Nephrolepis cordifolia,https://en.wikipedia.org/wiki/Nephrolepis_exaltata#/media/File:Boston_Fern_(2873392811).png,Significant
15,Winged Yam,Dioscorea alata,https://en.wikipedia.org/wiki/Dioscorea#/media/File:Dioscorea_balcanica_BotGardBln310505.jpg,Significant
16,Tropical Soda Apple,Solanum viarum,https://en.wikipedia.org/wiki/Solanum_viarum#/media/File:Solanum_viarum_fruit.jpg,Significant
17,Cogon Grass,Imperata cylindrica,https://en.wikipedia.org/wiki/Imperata_cylindrica#/media/File:Imperata_cylindrica_tigaya_colony.jpg,Significant